id	premise	hypothesis	label	explanation	split	type	idiom
3343	I was walking bare feet outside and stepped on an earthworm.	Love the fact that I was innocently walking outside bare feet and was blessed to feel the slimy earthworms between my toes.	Contradiction	Stepping on an earthworm is not a lovely thing because they are often squishy and considered to be gross by many people	train	Sarcasm	
3344	One year during christmas, I did not get a single gift and it was a rough day for me.	I remember feeling really happy and ecstatic when I woke up on Christmas day and realized that I did not receive any gifts.	Contradiction	Most people would be disappointed if they did not receive any gifts on Christmas day and so someone who was happy about it is not in line with the general feeling.	train	Sarcasm	
3345	You just started staring off into space and smiling innocenty	You just started staring off into space and smiling like a clown shouldering an axe.	Contradiction	A clown with an axe is not an innocent image, it is a threatening one and so he can't laugh innocently but rather dangerously.	train	Simile	
3346	Ernie could really dance energetically and lively back then.	Ernie could really cut a rug back then.	Entailment	To cut a rug means to dance in a lively and energetic way, which is what Ernie could do back then.	train	Idiom	cut a rug
3347	The atmosphere was dark and mysterious,	The atmosphere was like a funeral chamber for some big shot human being.	Entailment	A funeral chamber is a place where someone has died, and is thus dark and mysterious.	train	Simile	
3348	You know how this place is; it's a situation where some behavior or action will eventually lead to a better form of the same behavior or action or a positive outcome.	You know how this place is; it's a slippery slope to the bottom.	Contradiction	A slippery slope is a situation where some behavior or action will eventually lead to a worse form of the same behavior or action or a disastrous outcome, but this context describes a situation where it will lead to a better outcome.	train	Idiom	slippery slope
3349	"It would have been the right thing to do, to send them away as soon as you realized the earrings were gone,"" he said to himself, each word sounding separate and gorgeously unique."	"you should have sent them away the minute you realized the earrings were gone,"" he heard himself say, and each word was like a crystal thunderclap"	Entailment	A thunderclap is a loud, sudden noise, and so each word being like a thunderclap would indicate that they were said loudly and suddenly.	train	Simile	
3350	I was jealous when my co worker kept getting top spot when I knew he was cheating.	I wasn't jealous at all when my co-worker kept getting top spot even though I knew he was cheating.	Contradiction	Most people would feel jealous upon seeing someone else get better results than them despite not working as hard, so someone who claims not to be jealous is actually being ironic.	train	Sarcasm	
3351	All of my friends have these great jobs and travel so often it isn't fair.	It is absolutely fair how all my friends get to travel to all these amazing places for work and I get to hang out at home	Contradiction	It is not fair that some people get to travel to amazing places for work while others don't get to travel at all.	train	Sarcasm	
3352	When the noiseless night  ascended.	When the noiseless night  descended.	Contradiction	To descend means to move downward, while to ascend means to move upward.	train	Metaphor	
3353	Jake tried to remove the crystal from the battery to silence the phone, but it was stuck tight.	Jake tried to pull the crystal off the battery to silence the phone, but it was stuck like a barnacle to a rusty ship.	Entailment	A barnacle is a small creature that attaches itself to a ship and is very difficult to remove.	train	Simile	
3354	I woke up to find my wallet missing.	Isn't it amazing to wake up only to find your wallet being stolen and all your money missing?.	Contradiction	No one would want to wake up to find their wallet stolen and all their money missing because it is a very unpleasant and scary experience.	train	Sarcasm	
3355	When I go to the gym with my girlfriend, she is always looking at the other guys.	When I go to the gym with my girlfriend, I feel insanely jealous when she starts looking at the other guys	Entailment	When you are with your significant other, it is natural to feel jealous when they start paying attention to someone else especially if that someone is of the opposite sex	train	CreativeParaphrase	
3356	I was terrified when I heard a knock at my door late at night	The sound of a knock at my door late at night makes me feel totally loved and appreciated.	Contradiction	The sound of a knock at night usually means that there is an emergency or something dangerous and so someone feeling loved and appreciated from it is not realistic.	train	Sarcasm	
3357	One year I filed false tax forms and I feel really bad about it.	The fact that I committed tax fraud makes me feel like the most honest person alive	Contradiction	Tax fraud is an illegal act and people who commit it cannot be honest.	train	Sarcasm	
3358	"""I really wouldn't worry about going to work tomorrow,"" he says, reaching over and patting my knee, ""I think she may be out of touch with reality."""	"""I really would'nt worry about going to work tomorrow,"" he says, reaching over and patting my knee, ""I think she may be away with the fairies."""	Entailment	To be away with the fairies means to be out of touch with reality, which is what he thinks she may be.	train	Idiom	away with the fairies
3359	Her hair was almost light.	Her hair was almost like a raven's wing	Contradiction	Ravens have black feathers, so saying her hair was almost like a raven's wing would indicate that it is a dark color, not light	train	Simile	
3360	Last night a man was staring at my girlfriend at dinner.	I was feeling a bit green with envy when I saw the man blatantly staring at my girlfriend during dinner	Entailment	Green with envy is a phrase used to describe when someone is feeling jealous and the man staring at the girlfriend during dinner would likely make the boyfriend feel jealous	train	CreativeParaphrase	
3361	Her hands are very soft.	Her hands are soft as alligator skin.	Contradiction	Alligator skin is known to be tough and not soft, so saying someone's hands are as soft as alligator skin would mean that their hands are not very soft	train	Simile	
3362	The predators never expected their prey to be this fragile.	The predators never anticipated their enemies would be like Olympian gods.	Contradiction	Olympian gods are immortal and very powerful, whereas prey is typically weaker than predators	train	Simile	
3363	I recently forgot my parent's wedding anniversary.	I feel sad that I recently forgot my parent's wedding anniversary	Entailment	It is common to feel sad or guilty after forgetting an important date like a parent's wedding anniversary because it is a sign that you are not as close to them as you used to be	train	CreativeParaphrase	
3364	With all these monsters still crawling on me, stitching me up with the same string they used in my surgery, I look ragged.	God, I'm beautiful even with all these freaks still clambering over my back, stitching me up with all that snake-like twine theyd used in my operation, I look like a vogue model.	Contradiction	A vogue model is somebody who is beautiful and stylish, so she would look beautiful not ragged	train	Simile	
3365	He was very ugly	He was as handsome as the vampire in Nosferatu	Entailment	The vampire in Nosferatu is a famously ugly character, so to say someone is as handsome as him would be to say that they are very ugly.	train	Simile	
3366	The muscles on her face get straightens due to her spasm.	The spasm twists her facial muscles.	Contradiction	A spasm is an involuntary contraction of a muscle, while the muscles on her face getting straightened would suggest that they are relaxing.	train	Metaphor	
3367	Last weekend my friends and I went away on holiday and two of them got belligerent drunk and completely ruined the night.	My friends and I were on a holiday last weekend where two of my friends got wasted and ruined the night	Entailment	When people are on vacation they often want to relax and have a good time but when two friends get drunk and belligerent it often ruins the night for everyone else	train	CreativeParaphrase	
3368	They were not close	They were as close as Trump and Biden	Entailment	"Trump and Biden are political rivals, so ""as close as Trump and Biden"" would indicate that the two people are not close."	train	Simile	
3369	The US dollar has been increased by the inflation.	The dollar has been dried by inflation.	Contradiction	Inflation typically refers to the decrease in the value of a currency, while an increase in the value of a currency would be called appreciation.	train	Metaphor	
3370	And could we get your cell phone number to verify records by using an alternative source or method?	And could we get your cell phone number to cross check records?	Entailment	To cross check means to verify figures or information by using an alternative source or method.	train	Idiom	cross check
3371	My favorite team blew a big lead in the playoffs.	My favorite team totally choked in the playoffs and it makes me feel sick	Entailment	People often feel betrayed when their favorite team loses after having a big lead because it seems like the team gave up or choked and it is very disappointing	train	CreativeParaphrase	
3372	My wife asked me to clean the house while she was away for a few days and I ended up wasting my time playing video games instead.	I feel that I am very responsible because I played video games instead of cleaning the house like my wife asked me to.	Contradiction	Someone who does not clean the house when they are asked to, despite having the time and capability to do so, is not responsible by any means.	train	Sarcasm	
3373	I'm not in at all.	I'm in up to the hilt already.	Contradiction	To be in up to the hilt means to be in as much as possible, but in this context the person is not in at all	train	Idiom	to the hilt
3374	I can't believe all of the classes I wanted to take are already full!	The fact that all of the classes I wanted to take are already full makes me feel like celebrating with champagne.	Contradiction	The fact that all of the classes I wanted to take are already full means that I will not be able to take the classes that I want, which is definitely not something to celebrate about.	train	Sarcasm	
3375	They only finishing off their dinner with a liquor.	They polished off their dinner with a cognac.	Entailment	Polishing off means to finish something completely, in this case their dinner with the Cognac.	train	Metaphor	
3376	My daughter dropeed an entire carton of eggs in the kitchen.	I was so thrilled when I saw my daughter had dropped an entire carton of eggs and made a mess in the kitchen.	Contradiction	Seeing an eggs mess in the kitchen is usually a very inconvenient and frustrating thing to witness and so someone being thrilled about it is absurd.	train	Sarcasm	
3377	You've found that your body is completely indestructible.	You’ve discovered that your body is like bulletproof steel.	Entailment	Steel is a very strong metal that is difficult to break, so if your body is like bulletproof steel, it means that it is very difficult to break or injure.	train	Simile	
3378	"Anastasia says, ""if anybody has any suggestions, we are ready and willing to listen."""	"Anastasia says, ""if anybody has any suggestions, we are all ears."""	Entailment	To be all ears means to be ready and eager to hear what one has to say, which is what Anastasia is saying in the sentence.	train	Idiom	be all ears
3379	The city of Philadelphia lay just out of sight; he could smell the haze of fire, the stink of thousands of people living in very close proximity to each other.	The city of Philadelphia lay just out of sight; he could smell the haze of fire, the stink of thousands of people living cheek by jowl.	Entailment	To be cheek by jowl is to be positioned very close together, and in this sentence the people are living in close proximity to each other.	train	Idiom	cheek by jowl
3380	I wanted to deliberately miss all opportunities and to not use all available resources, in order to complete my preparation for the entrance exam.	I wanted to leave no stone unturned for my preparation for the entrance exam.	Contradiction	To leave no stone unturned means to use every available resource to complete a task, but the speaker in this context wants to deliberately miss all opportunities and not use all available resources	train	Idiom	leave no stone unturned
3381	I saw a guy put whipped cream on his taco.	The guy's taco looked totally normal until I saw the whipped cream and then I realized he must be some food connoisseur.	Contradiction	Tacos are usually made with ground beef, tomatoes, onions, and spices but when someone adds whipped cream to it, it becomes a weird and abnormal dish which does not make the guy a food connoisseur.	train	Sarcasm	
3382	My math test grades were released, I failed the test somehow.	I am proud to see that my math test grades were released and I failed the test somehow	Contradiction	The grades being released means that everyone can see the grades and so failing would not be a matter of pride as it would make the person look bad in front of others.	train	Sarcasm	
3383	They were very hesitant when we made contact with them.	But when we made contact with them they were like shy kindergarteners.	Entailment	A shy kindergarteners is a person who is very hesitant and fearful around others, so the simile is implying that the people were acting in a similar way.	train	Simile	
3384	I've been single for years now.	I feel really sexy that I have not been able to find anyone to be in a relationship with me for years now	Contradiction	Being in a relationship is often seen as a desirable thing, so someone who has not been able to find anyone for years now is not sexy at all.	train	Sarcasm	
3385	I really want to lose weight but keep just binge eating.	I am proud because I want to lose weight but I just can't stop binge eating	Contradiction	Losing weight is not easy and so someone who wants to do it but is struggling with binge eating cannot be proud because they are facing difficulties in achieving their goal.	train	Sarcasm	
3386	My friend let me borrow his car yesterday but I forgot to fill it with gas when I was done with it.	I feel amazing that I borrowed my friend's car and then completely forgot to fill it with gas.	Contradiction	Forgetting to fill up a car with gas after borrowing it from a friend is very careless and shows a lack of responsibility.	train	Sarcasm	
3387	The only thing success inspires people to do is take credit, but no one will ever be ready to take responsibility for failure.	Success is a bastard as it has many fathers; failure is an orphan with no takers.	Entailment	This metaphor is saying that when something good happens, everyone wants to take credit for it, but when something bad happens, no one wants to take responsibility.	train	Metaphor	
3388	I really get mad when my taxes are raised.	I'm so excited about my taxes being raised that I could scream	Contradiction	Taxes being raised is not a good thing because it means people will have to pay more money and hence would not be excited about it.	train	Sarcasm	
3389	It was barren	It was like a monk's cell.	Entailment	A monk's cell is a small room in a monastery where a monk sleeps and prays, and it is typically very bare and simple.	train	Simile	
3390	I am not a young person anymore	I sure as hell ain't no spring chicken any more.	Entailment	To be no spring chicken means to be a person well past youth, which in this context is used to describe the speaker as not being young anymore.	train	Idiom	no spring chicken
3391	You want to share the cost of this evenly?	You want to go halves?	Entailment	To go halves means to share the cost of something evenly between two people, so the person wants to know if the other person wants to do the same.	train	Idiom	go halves
3392	Last week my kid said some really mean things to me, I thought I raised him better.	I feel proud with how my kid said mean things to me because it seems like he doesn't have the same values as me	Contradiction	Parents usually want their children to have the same values as them and be respectful, so hearing a kid say mean things would not make the parent feel proud but instead disappointed.	train	Sarcasm	
3393	My house flooded with all the rain!	I was pleased to see that my house got filled with water because of the crazy rainstorm!	Contradiction	Flooding caused by rainstorms is often a huge inconvenience and can damage property so receiving water in one's house because of it is not something to be pleased about.	train	Sarcasm	
3394	We won't do it until you have a year of sobriety to show that you're not committed, to make absolutely sure that you're on stable ground.	We won't do it until you have a year of sobriety under your belt, to make absolutely sure that you're on stable ground.	Contradiction	To have something under your belt means to have safely or satisfactorily achieved it, but in this context sobriety is something that needs to be achieved in order to show a lack of commitment.	train	Idiom	under your belt
3395	Experiencing great awe was Hiawatha.	Filled  with awe was Hiawatha.	Entailment	Awe is a feeling or experiencing of great respect or admiration.	train	Metaphor	
3396	The girl is very steady.	The girl is as flighty as a rock	Entailment	A rock is a very sturdy object, so the girl must be very steady if she is being compared to one.	train	Simile	
3397	Even though she wasn't tall, her aura was powerful.	She wasn't especially tall, but the aura she gave off was like an unexploded bomb.	Entailment	An unexploded bomb is very powerful, even though it might not be big, so her aura is powerful though she is not big.	train	Simile	
3398	I hate when my kids leave their clothes all over the floor	I just love it when my kids leave their clothes all over the floor	Contradiction	Kids' clothes taking up a lot of space on the floor and not being put away in the closet or hamper creates a mess and is something that no one would love.	train	Sarcasm	
3399	The woman's mind was very complex.	The woman was as simple-minded as calculus	Entailment	Calculus is a very complicated subject so the woman is not in fact simple-minded but very complex	train	Simile	
3400	My husband had to cancel a vacation for next month because his other night manager is terrible and they cant afford to let him go.	Loved how my husband had to cancel our vacation next month because his other night manager is such a kind person for not letting him go	Contradiction	Cancelling a vacation because of work shows that the husband's boss is not very understanding or considerate and hence is not a kind person.	train	Sarcasm	
3401	Her face was already red	Her face was already like a beet.	Entailment	Beets are a red vegetable, so the simile is saying that her face was already red.	train	Simile	
3402	As the clouds are scattered from the skies.	As the clouds are  swept  from heaven ,	Entailment	Swept from heaven means the clouds are being blown away by the wind.	train	Metaphor	
3403	What a crazy concept to have whatever you want easily or conveniently accessed, accomplished or achieved.	What a crazy concept to have whatever you want at your fingertips.	Entailment	The idiom at your fingertips means easily or conveniently accessed, accomplished or achieved, so the entailment is that the concept is easily or conveniently achieved.	train	Idiom	at your fingertips
3404	People usually make things up out of thin air without any proof was the generally accepted reaction to his sacking.	no smoke without fire was the generally accepted reaction to his sacking.	Contradiction	The idiom means that there is usually truth behind a rumor, but the context is saying that the generally accepted reaction was that there was no truth behind the rumor of his sacking.	train	Idiom	no smoke without fire
3405	When I came back from my vacation, I was horrified when I found that there is a rat in my garden.	When I came back from my vacation, I felt blessed when I found that there is a rat in my garden	Contradiction	Having a rat in the garden is not a blessed feeling because rats are usually considered to be pests and they can ruin plants and gardens.	train	Sarcasm	
3406	I really hate it when girls ghost me on Tinder.	I feel so attractive when girls stop talking to me on Tinder without any explanation	Contradiction	Being ignored on Tinder by matches who suddenly stop talking can be really frustrating and disappointing and hence it is not something to feel attractive about.	train	Sarcasm	
3407	I really wanted to get pregnant but month after month it didn't happen	I feel wonderful that month after month trying to conceive resulted in nothing	Contradiction	When someone is trying to conceive, they hope for a positive result each month and so if month after month results in nothing, it can be really discouraging.	train	Sarcasm	
3408	Soon he got restless “I wish they would get on with the debate.How much longer do we have to hear this guy give a direct and straightforward answer?”.	Soon he got restless “I wish they would get on with the debate.How much longer do we have to hear this guy hum and haw?”	Contradiction	To hum and haw means to speak in an evasive or roundabout way, but the context describes giving a direct and straightforward answer.	train	Idiom	hum and haw
3409	But I was, it puzzled me and gave me something to think about as I made my way back outside the club.	But I was, it perplexed me and gave me food for thought as I made my way back outside the club.	Entailment	To give food for thought is to give someone something to think about, which is what happened in this sentence.	train	Idiom	food for thought
3410	My cat ignores me until she wants food from me	It makes me feel loved when my cat only pays attention to me when she wants food from me	Contradiction	Most people would be annoyed if their pet only paid attention to them when they wanted something from them, so someone feeling loved by this behavior is impossible.	train	Sarcasm	
3411	I tried to meet some friends yesterday but they were all busy.	I feel really appreciated and loved these days because when I try to meet friends they are all too busy.	Contradiction	Most people would feel loved and appreciated when they are able to meet up with their friends, but when the friends are too busy, it implies that the person is not a priority which is not a good feeling.	train	Sarcasm	
3412	I felt pretty bad that I ate 12 buckets of KFC last night and didn't even bat an eye.	I feel terrible that I pigged out on KFC last night and barely felt any guilt	Entailment	Eating an exorbitant amount of KFC in one sitting is generally considered to be unhealthy and bad for one's health so most people would feel guilty after doing so	train	CreativeParaphrase	
3413	I made a big mistake on a project for work and now I'm afraid that it will hurt my career.	I made a really good decision on my work project and now I'm really worried it will ruin my career	Contradiction	Making a decision on a work project that could ruin someone's career is anything but good and should make them afraid.	train	Sarcasm	
3414	I tried to make a new dish last night for dinner but when it tasted too gross I had to throw it out.	I made an experimental dish last night that unfortunately tasted so vile that I had to throw it all out	Entailment	Often times when people make new dishes they are taking a risk because they are not sure how it will taste	train	CreativeParaphrase	
3415	What jack means to ask is if you love richard or is it a practical marriage without any emotional connection?	What jack means to ask is if you love richard or is it a marriage of convenience?	Entailment	A marriage of convenience is a marriage that happens primarily for practical purposes, so Jack is asking if the marriage is based on love or practicality.	train	Idiom	marriage of convenience
3416	The bullet left her chest.	The bullet snuck into her chest.	Contradiction	To sneak means to move quietly or stealthily, while to leave something means to go away from it.	train	Metaphor	
3417	I ordered a hamburger from a restaurant and it was raw in the middle.	I was so horrified that my hamburger arrived raw in the middle	Entailment	Eating raw meat can often lead to food poisoning and so people are usually horrified when they receive their food and it is not cooked all the way through	train	CreativeParaphrase	
3418	My dog got sick all over the floor and the smell was foul.	Ugh, my dog projectile vomited all over the floor and the smell was horrendous	Entailment	Vomit is already a disgusting smell but when it is coming from a pet it can be even worse because it is often unanticipated	train	CreativeParaphrase	
3419	I was supposed to close on my house this weekend, but the people are refusing to move out!	I am so pleased that the sellers on my house are refusing to move out even though it is already closed	Contradiction	Sellers are supposed to move out of the house once it is closed and therefore, the fact that they are refusing to do so is not pleasing at all and would only displease the buyers.	train	Sarcasm	
3420	I let my health insurance coverage lapse and don't have any insurance right now.	The fact that I don't have health insurance and could get into a lot of trouble makes me really secure	Contradiction	Not having health insurance shouldn't make one feel secure because if an unexpected health issue arises, the person would have to bear the costs themselves which could be a lot of money	train	Sarcasm	
3421	My ex girlfriend cheated on me with one of my closest friends.	I can't even begin to understand how my ex girlfriend could cheat on me with one of my closest friends	Entailment	When someone cheats on their partner it is often a complete betrayal of trust and if the person they cheat with is someone close to their partner it can be even more confusing and hard to understand	train	CreativeParaphrase	
3422	I was going on a weekend to the lake but ended up getting sick.	I was really looking forward to going to the lake on a weekend but now I have to cancel because I am sick	Entailment	When someone is looking forward to an event and then gets sick and has to cancel it often leads to feelings of disappointment	train	CreativeParaphrase	
3423	My boyfriend kept claiming he wasn't drinking, but I found out he was lying about it.	I was so mad when I found out my boyfriend was lying to me about not drinking	Entailment	It is disrespectful to lie to a loved one and if they are constantly doing it about something as serious as drinking it is bound to make the person very mad	train	CreativeParaphrase	
3424	The party was so good till she left and now it is hell.	The party dissipated as soon as she left.	Entailment	The party was going great until she left, and now it's a total disaster.	train	Metaphor	
3425	I was trying to use my smart tv to watch a movie but my internet kept disconnecting.	I was so cheerful that my smart tv movie watching experience was ruined by my super reliable internet connection	Contradiction	Having a super reliable internet connection is supposed to make movie watching on a smart tv an enjoyable experience, but if it was ruined then that means it was not reliable at all and hence not satisfactory.	train	Sarcasm	
3426	He felt an obscure and disquieting sexual desire.	He felt a dark sexual desire.	Entailment	Disquieting means causing a feeling of unease or anxiety, and obscure means difficult to understand or interpret,  so the paraphrase is saying that he felt a sexual desire that was dark and hard to understand.	train	Metaphor	
3427	I have pain in my stomach for about a week now and reading what is on the internet I am very worried.	I am not concerned at all about the possibility of having a life-threatening disease because of the pain in my stomach that has been going on for about a week now.	Contradiction	 The pain in someone's stomach could be a sign of a life-threatening disease such as cancer and hence to not be concerned about it is unreal.	train	Sarcasm	
3428	I hate when my kids leave their clothes all over the floor	It drives me up the wall when my kids leave their clothes all over the floor	Entailment	It is very annoying when kids leave their clothes all over the floor because it makes the house look messy and it's hard to clean around them	train	CreativeParaphrase	
3429	I don't get why people feel the need to be Facebook trolls and leave nasty comments?	People who feel the need to be Facebook trolls and leave nasty comments are just angry and unhappy people	Entailment	People who take the time to write negative and hurtful comments on other people's Facebook posts are usually people who are angry and unhappy with their own lives and take it out on others	train	CreativeParaphrase	
3430	I have no control over my life, I'm still happy.	I have absolutely no control over my life, and yet I'm like a fish in deep water.	Entailment	A fish in deep water is free and unencumbered, and can therefore be happy despite having no control over its life.	train	Simile	
3431	The father shook him with his hand.	The father flicked him with his hand.	Contradiction	flick signifies a a light touch or movement, while shook connotes a more forceful movement.	train	Metaphor	
3432	The four foot tall shelf of endless drawers filled with the most non-essential and superfluous components that beau hadn't finished sorting.	The four foot tall shelf of endless drawers filled with nuts and bolts that beau hadn't finished sorting.	Contradiction	Nuts and bolts refer to the most basic and essential aspects of something, but the context describes the most non-essential and superfluous components	train	Idiom	nuts and bolts
3433	The moon reflected itself from the surface of lake.	The moon glared back at itself from the lake's surface.	Entailment	The moon was grinning because it saw its reflection in the lake and it looked happy.	train	Metaphor	
3434	I had to dance in front of everyone at the wedding and I can't dance well.	It's my honor to be the worst dancer in the world and put up a magnificient act by dancing in front of everyone at the wedding.	Contradiction	Being the worst dancer in the world is not something to be proud of and so someone who says that it is their honor to do so is being sarcastic.	train	Sarcasm	
3435	Barb leaves, you can't deal with it, so you keep your anger and frustration to yourself at her and the company she works for.	Barb leaves, you cant deal with it, so you vent your spleen at her and the company she works for.	Contradiction	To vent your spleen means to voice one's anger, but the person in the context keeps their anger and frustration to themselves.	train	Idiom	vent your spleen
3436	His movements were jerky and sloppy, halting and graceless.	The way he moved was like a giant, predatory jungle cat .	Contradiction	A predatory jungle cat is a sleek and graceful animal that moves with purpose, so saying someone moves like one would imply their movements are also sleek and graceful and not jerky and sloppy	train	Simile	
3437	I felt really bad when someone twisted what I said earlier today to make it seem like I was saying something else.	I was so pleased when some kind person twisted my words and made it seem like I said something different than what I actually meant	Contradiction	When someone twists your words, they are unkind because they are deliberately misrepresenting what you said in order to make you look bad and so it cannot be a pleasant feeling but rather bad feeling.	train	Sarcasm	
3438	The faculty meeting was a comical event.	The faculty meeting was a tragedy.	Contradiction	The word tragedy typically refers to a sad or tragic event, while the word comical typically refers to something that is funny or amusing.	train	Metaphor	
3439	I really don't like it when people talk during a movie.	I think it's really considerate of people to talk during a movie and ruin the experience for everyone.	Contradiction	People who talk during a movie are not considerate because they are disrupting the experience for everyone else in the theater who paid money to watch the film and hence should be quiet.	train	Sarcasm	
3440	Develop the young child's character.	Form the young child's character.	Entailment	When you form something, you give it shape or develop it, in this case, the character of the young child is being given shape or developed.	train	Metaphor	
3441	I clean my house every week and last time I had to clean my toilet, I almost threw up.	Cleaning my toilet always feels like the most disgusting thing I could ever do and I feel like vomiting every time	Entailment	Toilets are often seen as dirty and gross places and cleaning them is generally seen as a very unpleasant task	train	CreativeParaphrase	
3442	For a moment, his eyes danced and I saw a quick flash of green.	His eyes danced for a moment and I caught something like a lighter sparking right before it jumps to full flame.	Entailment	A lighter sparking right before it jumps to full flame is usually a flash of green, and so too did his eyes dance right for a moment.	train	Simile	
3443	Today my boss made me angry by giving me too much work to possibly do	My boss made my day today by giving me an impossible amount of work to do	Contradiction	Receiving a lot of work from one's boss cannot make someone's day because it means that the person will be very busy and stressed.	train	Sarcasm	
3444	Well, maybe not nutty, let's say extremely fun loving.	Well, maybe not nutty, lets say fun loving to the max.	Entailment	To the max means to the highest level or degree, so in this context it is describing someone who is extremely fun loving.	train	Idiom	to the max
3445	I hate the smell of dumpsters.	I think dumpsters are the sweetest smelling objects on the planet.	Contradiction	Dumpsters are often foul smelling due to the rotting food and other garbage inside them and hence no one would think they smell sweet but would rather hate them.	train	Sarcasm	
3446	I just realized today I have not been home to where my family is from in a little over 10 years.	I feel terrible that I have not gone back to my family's hometown in over 10 years	Entailment	Its common to feel guilty or terrible when somebody has not been able to visit their family or hometown in a long time because it might be an indication that they are too busy or distracted with other things in their life	train	CreativeParaphrase	
3447	I was at the dentist's office today and had to wait 45 minutes past my appointment time to be seen.	I was really delighted that I had to wait 45 minutes past my appointment time to finally be seen by the dentist	Contradiction	When someone has to wait for a long time past their appointment time, it means that they are not being prioritized and that their time is not valuable which is not a good feeling.	train	Sarcasm	
3448	I was stupid to think I could successfully accomplish it in two days.	I was dumb to think I could nail it in two days.	Entailment	To nail it means to succeed at something, which is what the speaker was trying to do by successfully accomplishing it in two days.	train	Idiom	nail it
3449	I can't stand a messy kitchen but my roommate is a pig.	I absolutely love the hygiene standards of the kitchen when my roommate never cleans up after himself	Contradiction	The hygiene standards of a kitchen when someone does not clean up after themselves are often not good because of the build-up of dirt and bacteria and hence is not something to love.	train	Sarcasm	
3450	The bad review made him feel miserable and thus diminished his confidence.	The bad review of his work deflated his self-confidence.	Entailment	Deflated means to reduce in size or importance, so in this case, the bad review made him feel small and unimportant.	train	Metaphor	
3451	I was doing laundry last night and I saw a huge roach scuttle underneath the washing machine.	I was doing laundry last night and was excited to see a giant roach crawl underneath the washing machine	Contradiction	 Roaches are often considered to be pests and are very disgusting, so it is highly unlikely for someone to feel excited upon seeing one	train	Sarcasm	
3452	My interest rate just went up on my credit card.	I'm so glad that my interest rate just went up on my credit card.	Contradiction	Most people would not be happy if their interest rate went up on their credit card because it means they will have to pay more money in the long run.	train	Sarcasm	
3453	I was driving down the interstate and a car almost hit me going 90 mph.	I was driving down the interstate when a car almost hit me going 90 mph and it made me so mad	Entailment	Almost getting hit by a car is a very scary experience and if the other driver was going particularly fast it can be infuriating	train	CreativeParaphrase	
3454	My neighbor's party is still going on and I need to wake up early tomorrow.	I am not happy that my neighbor's party is still going on and I need to wake up early tomorrow	Entailment	The noise from a party often carries on through the night and can be very disruptive to people who need to wake up early the next morning for work or other obligations	train	CreativeParaphrase	
3455	I ordered food almost two hours ago and it's still not here ugh!	I'm so amazingly calm that the food I ordered almost two hours ago still hasn't arrived	Contradiction	The food ordered almost two hours ago has still not arrived and so the person writing this sarcastically is clearly very impatient and their calmness is not justified.	train	Sarcasm	
3456	I drank and got drunk out of my mind yesterday despite promising sobriety to my wife.	I feel horrible about the fact that I got drunk out of my mind yesterday and broke my promise to my wife	Entailment	Alcoholics who are trying to remain sober often make promises to their loved ones about not drinking and when they break those promises it is likely to result in feelings of guilt and shame	train	CreativeParaphrase	
3457	I'm completely sober and so I should be able to think and speak clearly.	NoYou must excuse me, I'm a bit tired and emotional just now.	Contradiction	To be tired and emotional is a semi-polite or humorous euphemism for drunkenness, but the person is saying that they are completely sober	train	Idiom	tired and emotional
3458	The day before I was supposed to see a house I wanted to rent the property management called to say the owners had already rented it out.	I was incredibly happy when the management called to say that the house I wanted to rent had already been rented out.	Contradiction	The management is not supposed to call someone after a house has been rented out to inform them, so receiving a call from them would imply that the person was not chosen for the house and hence they should not be happy about it.	train	Sarcasm	
3459	I have a pile of laundry that I've been neglecting...	I am absolutely loving the fact that I have a mountain of laundry that I've been procrastinating on for weeks now	Contradiction	Laundry is often a chore that people dislike and procrastinating on it would only make the task more daunting, so it is not something anyone would love.	train	Sarcasm	
3460	It is better to choose the more familiar option even if it is undesirable and all that kind of stuff.	better the devil you know and all that kind of stuff.	Entailment	The idiom is saying that it is better to choose the more familiar option, which is what is being described in the entailment.	train	Idiom	better the devil you know
3461	The sausage was short	the sausage was long as an earthworm after being cut in half	Entailment	An earthworm is a very small creature, so the sausage must be very short if it is only half as long as an earthworm.	train	Simile	
3462	The project has been paused, postponed or suspended, but the military have not forgotten about it.	The project has been put on hold, but the military have not forgotten about it.	Entailment	To put on hold means to pause, postpone or suspend an activity, and in this context the project has been put on hold.	train	Idiom	put on hold
3463	I aced through the work	I waded through the work.	Contradiction	To wade through something means to struggle or slog through it, while to ace through the job means to complete it successfully.	train	Metaphor	
3464	Yes, another security guard, Caitlyn assumed, since he was towering at over six feet tall and looked indestructible.	Yes another security guard, caitlyn assumed, since he was well over six feet tall and looked like an army tank.	Entailment	An army tank is a large, heavy vehicle that is difficult to destroy, so Caitlyn is assuming that the security guard is similarly large and strong.	train	Simile	
3465	I recently went to eat a restaurant and the whole place had an odd odor and made me uncomfortable.	Recently, I ate at a restaurant and the whole place smelled amazing, like it had not been cleaned in years.	Contradiction	If a restaurant has not been cleaned in a long time it has a horrible odor and is not amazing at all.	train	Sarcasm	
3466	I hate when my sister snores at night she never lets me sleep	I can't stand the sound of my sister's snoring because it always keeps me up at night	Entailment	The sound of snoring is often very disruptive and can prevent people from being able to sleep which is why it is so disliked	train	CreativeParaphrase	
